================================================
  NLOC    CCN   token  PARAM  length  location
     17       0.0     0.0        0.0         0     .\src\codes\result1582006734838.py
     11       0.0     0.0        0.0         0     .\src\codes\result1582006979672.py
     13       0.0     0.0        0.0         0     .\src\codes\result1582007560600.py
     16       0.0     0.0        0.0         0     .\src\codes\result1582007644661.py
     15       0.0     0.0        0.0         0     .\src\codes\result1582007762593.py
     22       0.0     0.0        0.0         0     .\src\codes\result1582009376514.py
     20       0.0     0.0        0.0         0     .\src\codes\result1582009478430.py
     13       0.0     0.0        0.0         0     .\src\codes\result1582009904988.py
      9       0.0     0.0        0.0         0     .\src\codes\result1582010454360.py
      9       0.0     0.0        0.0         0     .\src\codes\result1582010875694.py
      5       0.0     0.0        0.0         0     .\src\codes\result1582011236136.py
     23      14.0     5.0      117.0         1     .\src\codes\result1582011266202.py
     11       0.0     0.0        0.0         0     .\src\codes\result1582011453278.py
     11       0.0     0.0        0.0         0     .\src\codes\result1582011485296.py
     11       0.0     0.0        0.0         0     .\src\codes\result1582011509764.py
     11       0.0     0.0        0.0         0     .\src\codes\result1582011519133.py
     14       0.0     0.0        0.0         0     .\src\codes\result1582011543915.py
     19      14.0     5.0      117.0         1     .\src\codes\result1582011742062.py
     13       0.0     0.0        0.0         0     .\src\codes\result1582011861187.py
      5       0.0     0.0        0.0         0     .\src\codes\result1582011879833.py
     11       0.0     0.0        0.0         0     .\src\codes\result1582012134832.py
     15       0.0     0.0        0.0         0     .\src\codes\result1582012158613.py
     20       0.0     0.0        0.0         0     .\src\codes\result1582012453642.py
     21      17.0     8.0      160.0         1     .\src\codes\result1582012613892.py
     21      16.0     5.0       83.0         1     .\src\codes\result1582012916670.py
      7       0.0     0.0        0.0         0     .\src\codes\result1582012941556.py
      1       0.0     0.0        0.0         0     .\src\codes\result1582013364881.py
     19      13.0     4.0       76.0         1     .\src\codes\result1582013954126.py
      8       0.0     0.0        0.0         0     .\src\codes\result1582014106904.py
     11       0.0     0.0        0.0         0     .\src\codes\result1582014306456.py
      5       0.0     0.0        0.0         0     .\src\codes\result1582014594406.py
     10       0.0     0.0        0.0         0     .\src\codes\result1582014687016.py
     11       0.0     0.0        0.0         0     .\src\codes\result1582014958323.py
      6       0.0     0.0        0.0         0     .\src\codes\result1582015149016.py
     10       0.0     0.0        0.0         0     .\src\codes\result1582015201347.py
     29      13.0     4.0       76.0         1     .\src\codes\result1582015225704.py
     10       0.0     0.0        0.0         0     .\src\codes\result1582015297287.py
     10       0.0     0.0        0.0         0     .\src\codes\result1582015303301.py
     10       0.0     0.0        0.0         0     .\src\codes\result1582015312759.py
     14       0.0     0.0        0.0         0     .\src\codes\result1582015317326.py
     10       0.0     0.0        0.0         0     .\src\codes\result1582015330153.py
     10       0.0     0.0        0.0         0     .\src\codes\result1582015378013.py
     10       0.0     0.0        0.0         0     .\src\codes\result1582015391743.py
      5       0.0     0.0        0.0         0     .\src\codes\result1582015572934.py
      3       0.0     0.0        0.0         0     .\src\codes\result1582015742022.py
     11       0.0     0.0        0.0         0     .\src\codes\result1582015851421.py
      3       0.0     0.0        0.0         0     .\src\codes\result1582015898837.py
      1       0.0     0.0        0.0         0     .\src\codes\result1582015948525.py
     21       0.0     0.0        0.0         0     .\src\codes\result1582015975748.py
      1       0.0     0.0        0.0         0     .\src\codes\result1582016028521.py
      9       0.0     0.0        0.0         0     .\src\codes\result1582016040677.py
      1       0.0     0.0        0.0         0     .\src\codes\result1582016059840.py
      1       0.0     0.0        0.0         0     .\src\codes\result1582016068495.py
      9       0.0     0.0        0.0         0     .\src\codes\result1582016140526.py
      9       0.0     0.0        0.0         0     .\src\codes\result1582016190569.py
      1       0.0     0.0        0.0         0     .\src\codes\result1582016216453.py
      1       0.0     0.0        0.0         0     .\src\codes\result1582016276423.py
      1       0.0     0.0        0.0         0     .\src\codes\result1582016284514.py
     21       0.0     0.0        0.0         0     .\src\codes\result1582016416142.py
     16       0.0     0.0        0.0         0     .\src\codes\result1582016436849.py
     21       0.0     0.0        0.0         0     .\src\codes\result1582016456224.py
     23       0.0     0.0        0.0         0     .\src\codes\result1582016537044.py
     24       0.0     0.0        0.0         0     .\src\codes\result1582016586302.py
     45      20.5     8.5      176.5         2     .\src\codes\result1582016913665.py
     26       0.0     0.0        0.0         0     .\src\codes\result1582017020538.py
     16       0.0     0.0        0.0         0     .\src\codes\result1582017097151.py
      3       0.0     0.0        0.0         0     .\src\codes\result1582017110887.py
     28       0.0     0.0        0.0         0     .\src\codes\result1582017156658.py
     16       0.0     0.0        0.0         0     .\src\codes\result1582017745197.py
     15       0.0     0.0        0.0         0     .\src\codes\result1582018021226.py
     10       0.0     0.0        0.0         0     .\src\codes\result1582018285383.py
      3       0.0     0.0        0.0         0     .\src\codes\result1582018942361.py
     33      13.0     4.0       76.0         1     .\src\codes\result1582019028695.py
     12       0.0     0.0        0.0         0     .\src\codes\result1582019234253.py
     43       0.0     0.0        0.0         0     .\src\codes\result1582020642670.py
     35       9.5     3.0       52.5         2     .\src\codes\result1582021150018.py
     21       0.0     0.0        0.0         0     .\src\codes\result1582021222990.py
      9       0.0     0.0        0.0         0     .\src\codes\result1582021242020.py
     17       0.0     0.0        0.0         0     .\src\codes\result1582022153788.py
      5       0.0     0.0        0.0         0     .\src\codes\result1582023957592.py
     17       0.0     0.0        0.0         0     .\src\codes\result1582023967924.py
     12       0.0     0.0        0.0         0     .\src\codes\result1582025029417.py
     13       0.0     0.0        0.0         0     .\src\codes\result1582025980356.py
     13       0.0     0.0        0.0         0     .\src\codes\result1582026034904.py
     13       0.0     0.0        0.0         0     .\src\codes\result1582026067796.py
     14       0.0     0.0        0.0         0     .\src\codes\result1582026092411.py
     12       0.0     0.0        0.0         0     .\src\codes\result1582026145831.py
